ID,LATITUDE,LONGITUDE,Mun/UF,MUNICIPIO,UF,Valor
1,-9.82,-66.88,ACRELANDIA - AC,ACRELANDIA,AC,39560.03891
2,-10.94,-69.56,ASSIS BRASIL - AC,ASSIS BRASIL,AC,17842.15099
3,-11.01,-68.74,BRASILEIA - AC,BRASILEIA,AC,93373.39431
4,-9.83,-67.95,BUJARI - AC,BUJARI,AC,28516.56749
5,-10.57,-67.67,CAPIXABA - AC,CAPIXABA,AC,18886.45514
