Origem,Destino,Distancia
ACRELANDIA,SATUBA,4594.51415177334
ACRELANDIA,SENADOR RUI PALMEIRA,4347.95840792689
ACRELANDIA,TANQUE D'ARCA,4504.597678310039
ACRELANDIA,TAQUARANA,4494.847300990164
ACRELANDIA,TEOTONIO VILELA,4513.665179913826
ACRELANDIA,TRAIPU,4417.195336383352
ACRELANDIA,UNIAO DOS PALMARES,4567.116749909307
ACRELANDIA,VICOSA,4534.069443051609
ACRELANDIA,ALVARAES,1038.1244494237856
ACRELANDIA,AMATURA,989.1902016771305
ACRELANDIA,ANAMA,1242.6650423458689
ACRELANDIA,ANORI,1197.60965205725
ACRELANDIA,APUI,1110.2084934138825
ACRELANDIA,ATALAIA DO NORTE,955.1124720246032
ACRELANDIA,AUTAZES,1486.9560176945063
ACRELANDIA,BARCELOS,1454.112810656026
ACRELANDIA,BARREIRINHA,1803.669168425216
ACRELANDIA,BENJAMIN CONSTANT,941.7347006109095
ACRELANDIA,BERURI,1210.849133121524
ACRELANDIA,BOA VISTA DO RAMOS,1724.9834052544716
ACRELANDIA,BOCA DO ACRE,177.50338909483995
ACRELANDIA,BORBA,1358.3669074543786
ACRELANDIA,CAAPIRANGA,1291.7947977976307
ACRELANDIA,CANUTAMA,617.947097682268
ACRELANDIA,CARAUARI,741.5604593166702
ACRELANDIA,CAREIRO,1330.8390629152611
ACRELANDIA,CAREIRO DA VARZEA,1445.3298151380957
ACRELANDIA,COARI,1026.0349786084325
ACRELANDIA,CODAJAS,1151.6476512314462
ACRELANDIA,EIRUNEPE,649.8298386395816
ACRELANDIA,ENVIRA,588.098975048448
ACRELANDIA,FONTE BOA,1103.6342518065283
ACRELANDIA,GUAJARA,912.4032564034353
ACRELANDIA,HUMAITA,670.351449774547
ACRELANDIA,IPIXUNA,826.3887699028533
ACRELANDIA,IRANDUBA,1400.3779037999104
ACRELANDIA,ITACOATIARA,1608.8342073219285
ACRELANDIA,ITAMARATI,549.4813934831849
ACRELANDIA,ITAPIRANGA,1695.5644345392218
ACRELANDIA,JAPURA,1201.6845650107136
ACRELANDIA,JURUA,959.5304698664469
ACRELANDIA,JUTAI,1062.9517300450082
ACRELANDIA,LABREA,495.0551147520412
ACRELANDIA,MANACAPURU,1352.2072679498754
ACRELANDIA,MANAQUIRI,1356.9322901704195
ACRELANDIA,MANAUS,1436.436629851231
ACRELANDIA,MANICORE,1025.923731095258
ACRELANDIA,MARAA,1212.0244918307183
ACRELANDIA,MAUES,1674.0030239662542
ACRELANDIA,NHAMUNDA,1901.8141460874301
ACRELANDIA,NOVA OLINDA DO NORTE,1463.4854310950973
ACRELANDIA,NOVO AIRAO,1397.4356963449018
ACRELANDIA,NOVO ARIPUANA,1197.1525393933202
ACRELANDIA,PARINTINS,1859.8959797972302
ACRELANDIA,PAUINI,317.02003093611916
